"margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff"
44,-3,6,-1,11,3,3,42,3.8,2,-2,5,33,6,5,9,6,264,8,-1,5,30,-4,37,4
30,-1,3,-12,6,-5,15,36,-5.99999999999999,-5,5,0,7,16,6,29,17,523,2,-12,3,46,-6,13,-2
53,2,7,15,13,6,17,68,1.7,10,-10,5,18,28,2,50,31,765,3,-19,6,39,-1,49,10
2,-1,-3,8,5,-4,-11,2,-2.2,9,-9,2,16,-11,-10,-14,-8,14,18,11,8,-12,11,7,-10
48,-1,-9,-10,-13,4,0,28,10,-5,5,4,4,12,23,24,19,811,-16,-5,-4,40,-22,25,10
26,-1,-2,-6,4,6,0,2,-0.899999999999991,0,0,0,-32,-1,3,34,20,35,-11,5,6,-5,-4,-16,-4
13,2,5,6,15,-4,8,20,-5,6,-6,5,3,19,-9,17,1,203,8,-18,10,9,10,17,6
37,2,4,-18,9,17,40,53,-4.39999999999999,-3,3,4,16,32,19,37,9,597,8,-25,5,71,-19,20,19
4,2,-3,1,-15,-1,-29,-65,-4.90000000000001,9,-9,0,-36,13,3,-29,-22,93,30,-14,-12,11,-3,-44,5
34,2,6,-9,13,3,24,6,-3.10000000000001,-2,2,0,-39,17,6,45,25,185,0,-13,7,26,-5,-7,7
37,0,5,5,5,1,10,71,6.2,11,-11,4,48,22,9,23,16,859,18,-17,0,51,-9,65,6
49,2,-1,-5,3,1,1,64,6.2,0,0,8,53,4,4,11,6,759,14,5,4,54,-3,68,-7
37,-2,8,-1,-4,9,13,11,0.100000000000009,-3,3,2,-10,13,0,21,22,530,-20,-5,-12,24,0,-1,-13
34,1,-7,-10,-8,8,21,82,3.90000000000001,-14,14,2,20,-12,9,62,62,223,9,17,-1,23,-8,67,-3
27,-2,0,11,6,-4,21,82,6.7,5,-5,3,39,-4,-3,43,30,458,3,13,6,16,3,64,2
32,3,5,-7,5,-3,17,16,0.5,-4,4,4,41,15,0,-25,-41,532,-1,-7,0,1,1,1,-3
6,-6,-5,-1,0,4,-5,23,5.59999999999999,-7,7,6,7,3,4,16,23,-70,8,-3,5,3,-4,33,-4
33,1,9,-4,11,3,5,-40,-1,1,-1,3,-40,25,2,0,-12,211,12,-19,2,28,-2,-39,2
17,0,3,1,10,4,24,-2,-1.8,2,-2,3,-6,13,-10,4,-8,537,-7,-8,7,-4,8,-30,-5
14,8,-1,8,-4,3,0,63,3.90000000000001,2,-2,4,65,-4,6,-2,-3,179,0,5,-3,41,-6,61,3
17,3,8,-5,16,-3,2,-22,-1.3,-5,5,0,-39,18,-16,17,-8,561,8,-16,8,-19,16,-29,3
8,12,0,1,4,1,-2,-4,0.299999999999997,2,-2,1,-10,18,-4,6,15,604,3,-16,4,8,5,3,-4
52,-5,1,19,3,2,17,-11,-2.3,8,-8,6,-44,-12,-1,33,18,280,18,20,2,24,1,-33,-9
54,5,-3,-4,-12,-2,-21,-7,11.2,7,-7,3,-26,23,12,19,27,713,16,-13,-9,39,-12,20,6
12,-3,4,-6,8,3,17,47,1.7,-2,2,2,15,-14,-15,32,15,-115,12,17,4,19,14,15,-10
7,3,-4,-25,-9,2,-10,36,16.7,-9,9,-2,21,-4,-1,15,24,334,0,9,-5,1,0,47,-7
66,0,3,4,8,-1,-14,27,14.3,0,0,7,-6,-2,-6,33,26,693,14,13,5,58,6,33,0
69,2,6,6,15,10,23,100,2.19999999999999,5,-5,10,36,12,-3,64,47,974,-5,-1,9,45,2,77,8
